name,lamda,flux
BSC_vmag,5450,1.2133888504649712e-11
BSC_bmag,4380,1.2156260552373785e-11
BSC_umag,3660,6.99519781051212e-12
TIC_vmag,5450,1.2090938161587656e-11
TIC_jmag,12200,2.6546055619755364e-12
TIC_hmag,16300,1.1781484060029188e-12
