name,lamda,flux
BSC_vmag,5450,2.7039583641088352e-11
BSC_bmag,4380,1.9806147089717275e-11
BSC_umag,3660,6.6803620467924355e-12
TIC_vmag,5450,2.7374361616086184e-11
TIC_jmag,12200,1.0577913224995008e-11
TIC_hmag,16300,6.303764788294846e-12
