name,lamda,flux
BSC_vmag,5450,1.819700858609975e-11
BSC_bmag,4380,1.204481128573171e-11
BSC_umag,3660,3.571083458083439e-12
TIC_vmag,5450,1.8247358307625754e-11
TIC_jmag,12200,7.040443214699752e-12
TIC_hmag,16300,4.495727713019046e-12
