name,lamda,flux
BSC_vmag,5450,1.0764652136298305e-11
BSC_bmag,4380,1.5732581854464603e-11
BSC_umag,3660,9.306791831626494e-12
TIC_vmag,5450,1.0697443466087782e-11
TIC_jmag,12200,1.310991874649771e-12
TIC_hmag,16300,5.190390101970794e-13
