star_id,name,RAJ2000,DEJ2000,Vmag_BSC,Variable_flag,Passband,max_mag,min_mag,delta_mag,s_flag,e_flag,t_flag,teff_flag,teff,flux
4895,HD18894,45.53875,-6.49472222222222,6.19,0,V,6.19,6.19,0,0,0,1,1,6093.0,3076.278619458529
4966,HD18784,45.2916666666667,-7.66277777777778,5.75,0,V,5.75,5.75,0,0,0,1,1,4625.8096680538365,4721.750315740382
4968,HD18953,45.67625,-7.68527777777778,5.32,0,V,5.32,5.32,0,0,0,1,1,4891.572509518791,7058.110067071282
5090,HD17943,43.210416666666696,-9.441111111111109,6.32,0,V,6.32,6.32,0,0,0,1,1,7749.18,2706.0122162455195
5119,HD18557,44.6975,-9.77638888888889,6.14,0,V,6.14,6.14,0,0,0,1,1,7621.0,3185.733732678721
5130,HD18885,45.48375,-9.96138888888889,5.83,0,V,5.83,5.83,0,0,0,1,1,4724.63,4560.395571163822
